"AIRPORT_SEQ_ID","AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","DISPLAY_AIRPORT_CITY_NAME_FULL","LATITUDE","LONGITUDE",
1018201,10182,"AER","Adler/Sochi Airport","Adler/Sochi, U.S.S.R.",43.45000000,39.93333333,
1018202,10182,"AER","Adler/Sochi Airport","Adler/Sochi, Russia",43.45000000,39.93333333,
1018301,10183,"AES","Vigra","Aalesund, Norway",62.56250000,6.10527778,
1018302,10183,"AES","Vigra","Aalesund, Norway",62.56111111,6.11416667,
1018303,10183,"AES","Vigra","Aalesund, Norway",62.56027778,6.11027778,
1018401,10184,"AET","Allakaket Airport","Allakaket, AK",66.56166667,-152.65833333,
1018402,10184,"AET","Allakaket Airport","Allakaket, AK",66.55194444,-152.62222222,
1018501,10185,"AEX","England AFB","Alexandria, LA",31.32416667,-92.54694444,
1018502,10185,"AEX","Alexandria International","Alexandria, LA",31.32750000,-92.54861111,
1018601,10186,"AEY","Akureyri Airport","Akureyri, Iceland",65.65694444,-18.07222222,
1018602,10186,"AEY","Akureyri Airport","Akureyri, Iceland",65.66000000,-18.07277778,
1018603,10186,"AEY","Akureyri Airport","Akureyri, Iceland",65.65666667,-18.07194444,
1018801,10188,"AFA","San Rafael Airport","San Rafael, Argentina",-34.58916667,-68.40055556,
1018802,10188,"AFA","San Rafael Airport","San Rafael, Argentina",-34.58777778,-68.40333333,
1018803,10188,"AFA","San Rafael Airport","San Rafael, Argentina",-34.58861111,-68.40277778,
1018804,10188,"AFA","San Rafael Airport","San Rafael, Argentina",-34.58777778,-68.40361111,
1018901,10189,"AFF","USAF Academy Airfield","Colorado Springs, CO",38.96972222,-104.81250000,
1018902,10189,"AFF","USAF Academy Airfield","Colorado Springs, CO",38.96972222,-104.81277778,
1018903,10189,"AFF","USAF Academy Airfield","Colorado Springs, CO",38.97416667,-104.81777778,
1019001,10190,"AFK","Nebraska City Municipal","Nebraska, NE",40.60694444,-95.86583333,
1019002,10190,"AFK","Nebraska City Municipal","Nebraska, NE",40.60555556,-95.86777778,
1019003,10190,"AFK","Nebraska City Municipal","Nebraska, NE",40.60638889,-95.86666667,
1019004,10190,"AFK","Nebraska City Municipal","Nebraska, NE",40.60666667,-95.86666667,
1019101,10191,"AFO","Afton Municipal","Afton, WY",42.71666667,-110.93333333,
1019102,10191,"AFO","Afton Municipal","Afton, WY",42.70888889,-110.94222222,
1019201,10192,"AFP","Anson County","Wadesboro, NC",35.02388889,-80.08138889,
1019202,10192,"AFP","Anson County","Wadesboro, NC",35.02055556,-80.07722222,
1019203,10192,"AFP","Anson County Jeff Cloud Field","Wadesboro, NC",35.02055556,-80.07722222,
1019401,10194,"AFW","Fort Worth Alliance","Dallas/Fort Worth, TX",32.98666667,-97.31750000,
1019402,10194,"AFW","Fort Worth Alliance","Dallas/Fort Worth, TX",32.98777778,-97.31888889,
